"","x"
"1","Tbrucei---Tb08.27P2.260"
"2","Tbrucei---Tb10.v4.0163"
"3","Tbrucei---Tb927.11.14840"
"4","Tbrucei---Tb927.1.2390"
"5","Tbrucei---Tb927.9.6210"
"6","Tbrucei---Tb927.3.3270"
"7","Tbrucei---Tb927.10.8940"
"8","Tbrucei---Tb927.11.3250"
"9","Tbrucei---Tb1.NT.27"
"10","Tbrucei---Tb927.10.2190"
"11","Tbrucei---Tb927.6.4280"
"12","Tbrucei---Tb927.10.10590"
"13","Tbrucei---Tb8.NT.11"
"14","Tbrucei---Tb927.1.4310"
"15","Tbrucei---Tb927.3.5370"
"16","Tbrucei---Tb927.11.880"
"17","Tbrucei---Tb927.10.14140"
"18","Tbrucei---Tb927.11.4180"
"19","Tbrucei---Tb927.4.2530"
"20","Tbrucei---Tb927.11.7350"
"21","Tbrucei---Tb927.3.930"
"22","Tbrucei---Tb927.9.13785"
"23","Tbrucei---Tb927.11.13500"
"24","Tbrucei---Tb927.10.10580"
"25","Tbrucei---Tb927.8.6240"
"26","Tbrucei---Tb927.10.14890"
"27","Tbrucei---Tb927.7.5940"
"28","Tbrucei---Tb927.11.9920"
"29","Tbrucei---Tb927.11.1800"
"30","Tbrucei---Tb10.v4.0205"
"31","Tbrucei---Tb927.11.1860"
"32","Tbrucei---Tb927.11.17140"
"33","Tbrucei---Tb927.11.15910"
"34","Tbrucei---Tb927.11.2700"
"35","Tbrucei---Tb927.10.16280"
"36","Tbrucei---Tb927.11.12210"
"37","Tbrucei---Tb927.5.1550"
"38","Tbrucei---Tb927.10.2010"
"39","Tbrucei---Tb927.10.12820"
"40","Tbrucei---Tb927.3.2960"
"41","Tbrucei---Tb927.7.2930"
"42","Tbrucei---Tb927.11.16400"
"43","Tbrucei---Tb927.3.2050"
"44","Tbrucei---Tb927.8.6760"
"45","Tbrucei---Tb927.10.15350"
"46","Tbrucei---Tb927.5.800"
"47","Tbrucei---Tb927.11.7510"
"48","Tbrucei---COII"
"49","Tbrucei---Tb927.7.2920"
"50","Tbrucei---Tb927.4.2740"
"51","Tbrucei---Tb927.10.12800"
"52","Tbrucei---Tb927.6.3840"
"53","Tbrucei---Tb927.8.7970"
"54","Tbrucei---Tb927.2.2770"
"55","Tbrucei---Tb927.9.7470"
"56","Tbrucei---Tb927.11.1110"
"57","Tbrucei---Tb927.8.7410"
"58","Tbrucei---Tb927.8.1550"
"59","Tbrucei---Tb927.11.1030"
"60","Tbrucei---Tb927.10.14160"
"61","Tbrucei---Tb927.3.1120"
"62","Tbrucei---Tb927.6.3180"
"63","Tbrucei---Tb927.8.710"
"64","Tbrucei---Tb927.8.6660"
"65","Tbrucei---Tb927.11.11010"
"66","Tbrucei---Tb927.7.2850"
"67","Tbrucei---Tb927.3.3490"
"68","Tbrucei---Tb927.1.2490"
"69","Tbrucei---Tb927.3.2310"
"70","Tbrucei---Tb927.10.3640"
"71","Tbrucei---Tb927.9.9940"
"72","Tbrucei---Tb927.10.8830"
"73","Tbrucei---Tb927.4.1300"
"74","Tbrucei---Tb927.5.4170"
"75","Tbrucei---Tb927.11.9860"
"76","Tbrucei---Tb927.7.6690"
"77","Tbrucei---Tb927.9.12650"
"78","Tbrucei---Tb927.3.4090"
"79","Tbrucei---Tb927.10.12670"
"80","Tbrucei---Tb927.9.14290"
"81","Tbrucei---Tb927.11.6550"
"82","Tbrucei---Tb927.4.5110"
"83","Tbrucei---Tb927.10.3400"
"84","Tbrucei---Tb927.11.14880"
"85","Tbrucei---Tb927.10.7230"
"86","Tbrucei---Tb927.10.14150"
"87","Tbrucei---Tb927.6.4140"
"88","Tbrucei---Tb09.v4.0039"
"89","Tbrucei---Tb927.10.5810"
"90","Tbrucei---Tb927.11.11680"
"91","Tbrucei---Tb927.9.2800"
"92","Tbrucei---Tb927.10.3990"
"93","Tbrucei---Tb927.10.880"
"94","Tbrucei---Tb927.10.11300"
"95","Tbrucei---Tb927.9.6290"
"96","Tbrucei---Tb927.10.8980"
"97","Tbrucei---Tb927.7.3330"
"98","Tbrucei---Tb927.1.700"
"99","Tbrucei---Tb927.3.3690"
"100","Tbrucei---Tb927.1.2670"
"101","Tbrucei---Tb927.11.13020"
"102","Tbrucei---Tb11.v5.0295"
"103","Tbrucei---Tb927.4.870"
"104","Tbrucei---Tb927.11.12410"
"105","Tbrucei---Tb927.11.15100"
"106","Tbrucei---Tb927.8.1150"
"107","Tbrucei---Tb927.3.4290"
"108","Tbrucei---Tb927.11.6230"
"109","Tbrucei---Tb927.4.4690"
"110","Tbrucei---Tb11.v5.0685"
