"","x"
"1","Target61"
"2","Target94"
"3","Target70"
"4","Target68"
"5","Target57"
"6","Target67"
"7","Target105"
"8","Target77"
"9","Target99"
"10","Target107"
"11","Target159"
"12","Target84"
"13","Target24"
"14","Target101"
"15","Target81"
"16","Target15"
"17","Target73"
"18","Target88"
"19","Target83"
"20","Target104"
"21","Target79"
"22","Target72"
"23","Target154"
"24","Target91"
"25","Target97"
"26","Target92"
"27","Target82"
"28","Target106"
"29","Target80"
"30","Target156"
"31","Target139"
"32","Target160"
"33","D4-TF1"
"34","Target153"
"35","Target75"
"36","Target152"
"37","Target59"
"38","Target66"
"39","Target90"
"40","Target103"
"41","Target8"
"42","Target149"
"43","Target157"
"44","Target89"
"45","Target86"
"46","Target98"
"47","Target96"
"48","Target93"
"49","Target74"
"50","E1-TF1"
"51","Target69"
"52","Target138"
"53","C4-TF1"
"54","Target71"
"55","Target58"
"56","Target87"
"57","F1-TF1"
"58","Target144"
"59","Target188"
"60","Target102"
"61","Target137"
"62","Target146"
"63","Target178"
"64","F2-TF1"
"65","Target165"
"66","Target198"
"67","Target140"
"68","Target164"
"69","Target6"
"70","Target174"
"71","Target191"
"72","Target168"
"73","Target173"
"74","HK70"
"75","Target120"
"76","HK3"
"77","Target172"
"78","Target162"
"79","Target192"
"80","Target206"
"81","Target56"
"82","Target110"
"83","Target145"
"84","Target187"
"85","B2-TF1"
"86","Target167"
"87","Target207"
"88","Target203"
"89","Target109"
"90","Target217"
"91","Target208"
"92","Target200"
"93","Target212"
"94","Target211"
"95","Target214"
"96","Target199"
"97","Target210"
"98","Target197"
"99","Target201"
"100","Target204"
"101","Target209"
"102","Target142"
"103","Target202"
"104","Target216"
"105","Target205"
"106","Target147"
"107","Target195"
"108","Target177"
"109","Target182"
"110","Target47"
"111","Target194"
"112","Target190"
"113","Target184"
"114","Target185"
"115","Target180"
"116","C3-TF1"
"117","Target183"
"118","Target196"
"119","Target189"
"120","Target175"
"121","Target193"
"122","Target181"
"123","Target186"
"124","Target176"
"125","Target9"
"126","Target179"
"127","C2-TF1"
"128","C1-TF1"
"129","Target78"
"130","Target100"
"131","Target85"
"132","Target95"
"133","Target63"
"134","Target65"
"135","Target76"
"136","Target34"
"137","Target60"
"138","Target62"
"139","Target141"
"140","Target215"
"141","Target64"
"142","Target150"
"143","Target143"
"144","Target213"
"145","Target117"
"146","Target2"
"147","Target113"
"148","Target111"
"149","Target155"
"150","HK113"
"151","Target118"
"152","Target158"
"153","Target115"
"154","HK57"
"155","HK85"
"156","HK37"
"157","HK43"
"158","Target166"
"159","Target170"
"160","Target161"
"161","Target119"
"162","Target112"
"163","Target169"
"164","Target114"
"165","Target163"
"166","Target12"
"167","Target151"
"168","Target171"
"169","HK10"
"170","Target22"
"171","HK53"
"172","HK108"
"173","Target218"
"174","HK65"
"175","HK46"
"176","Target48"
"177","Target235"
"178","HK138"
"179","HK106"
"180","Target33"
"181","HK90"
"182","HK29"
"183","HK80"
"184","Target19"
"185","HK133"
"186","HK73"
"187","Target242"
"188","Target37"
"189","HK91"
"190","Target27"
"191","Target233"
"192","Target224"
"193","Target125"
"194","HK38"
"195","Target227"
"196","HK117"
"197","HK31"
"198","Target243"
"199","Target234"
"200","HK119"
"201","HK8"
"202","Target52"
"203","Target30"
"204","HK47"
"205","Target50"
"206","Target148"
"207","HK16"
"208","HK39"
"209","Target228"
"210","Target29"
"211","HK5"
"212","HK75"
"213","HK87"
"214","Target54"
"215","HK111"
"216","Target136"
"217","Target131"
"218","Target247"
"219","Target245"
"220","HK104"
"221","Target128"
"222","HK54"
"223","Target127"
"224","HK112"
"225","HK4"
"226","HK26"
"227","Target116"
"228","B1-TF1"
"229","Target237"
"230","HK150"
"231","HK132"
"232","Target238"
"233","HK66"
"234","Target240"
"235","Target241"
"236","HK129"
"237","HK9"
"238","HK62"
"239","Target223"
"240","Target231"
"241","Target221"
"242","Target219"
"243","Target220"
"244","Target230"
"245","Target225"
"246","Target229"
"247","Target222"
"248","Target232"
"249","Target226"
"250","Target4"
"251","Target134"
"252","Target121"
"253","Target130"
"254","Target133"
"255","Target3"
"256","D3-TF1"
"257","Target1"
"258","Target123"
"259","Target53"
"260","Target132"
"261","Target17"
"262","Target21"
"263","Target5"
"264","Target18"
"265","Target28"
"266","Target124"
"267","Target26"
"268","Target55"
"269","Target11"
"270","Target7"
"271","Target25"
"272","Target45"
"273","Target35"
"274","Target10"
"275","Target36"
"276","Target32"
"277","Target31"
"278","Target122"
"279","Target126"
"280","Target23"
"281","Target16"
"282","Target40"
"283","Target20"
"284","Target51"
"285","Target39"
"286","Target49"
"287","Target44"
"288","Target13"
"289","Target43"
"290","Target42"
"291","Target41"
"292","Target46"
"293","D2-TF1"
"294","D1-TF1"
"295","HK146"
"296","Target135"
"297","Target129"
"298","Target38"
"299","Target14"
"300","Target108"
"301","HK33"
"302","Target249"
"303","HK22"
"304","A1-TF1"
"305","HK19"
"306","HK1"
"307","HK59"
"308","HK6"
"309","HK131"
