"","x"
"1","Target157"
"2","Target156"
"3","Target161"
"4","Target160"
"5","Target163"
"6","Target164"
"7","Target165"
"8","Target210"
"9","Target159"
"10","B4-TF1"
"11","Target158"
"12","Target166"
"13","Target72"
"14","Target70"
"15","Target3"
"16","Target71"
"17","Target97"
"18","B3-TF1"
"19","B5-TF1"
"20","Target77"
"21","Target74"
"22","Target108"
"23","Target102"
"24","Target66"
"25","Target68"
"26","Target69"
"27","Target64"
"28","Target130"
"29","Target67"
"30","Target112"
"31","Target133"
"32","Target62"
"33","Target138"
"34","Target105"
"35","Target141"
"36","Target104"
"37","Target85"
"38","Target127"
"39","Target83"
"40","Target109"
"41","Target61"
"42","Target124"
"43","Target63"
"44","Target60"
"45","Target140"
"46","Target98"
"47","Target89"
"48","Target107"
"49","Target78"
"50","Target86"
"51","Target118"
"52","Target110"
"53","Target81"
"54","Target135"
"55","Target106"
"56","Target99"
"57","Target121"
"58","Target96"
"59","B2-TF1"
"60","Target117"
"61","Target120"
"62","Target1"
"63","Target101"
"64","Target139"
"65","Target91"
"66","Target84"
"67","Target131"
"68","Target129"
"69","Target80"
"70","C1-TF1"
"71","Target82"
"72","Target111"
"73","Target116"
"74","Target100"
"75","Target115"
"76","B1-TF1"
"77","Target94"
"78","Target119"
"79","Target126"
"80","Target134"
"81","Target212"
"82","Target92"
"83","Target128"
"84","Target217"
"85","Target103"
"86","Target49"
"87","Target211"
"88","Target5"
"89","Target2"
"90","Target137"
"91","Target123"
"92","Target149"
"93","A6-TF1"
"94","Target216"
"95","Target93"
"96","Target248"
"97","Target213"
"98","Target50"
"99","Target125"
"100","Target247"
"101","Target239"
"102","Target224"
"103","Target219"
"104","Target226"
"105","Target153"
"106","A5-TF1"
"107","Target232"
"108","Target225"
"109","Target242"
"110","Target234"
"111","A3-TF1"
"112","Target132"
"113","Target79"
"114","Target244"
"115","Target220"
"116","Target90"
"117","Target154"
"118","Target4"
"119","Target122"
"120","Target240"
"121","Target136"
"122","Target150"
"123","Target87"
"124","Target76"
"125","Target113"
"126","Target241"
"127","Target114"
"128","Target65"
"129","Target95"
"130","Target167"
"131","Target196"
"132","Target73"
"133","Target162"
"134","Target75"
"135","Target88"
"136","Target57"
"137","Target169"
"138","HK124"
"139","Target142"
"140","Target215"
"141","Target214"
"142","Target143"
"143","Target221"
"144","Target53"
"145","Target222"
"146","HK113"
"147","Target202"
"148","HK30"
"149","Burn2-TF1"
"150","Target204"
"151","Target195"
"152","Target41"
"153","HK3"
"154","Target25"
"155","HK8"
"156","Target6"
"157","HK12"
"158","Target177"
"159","Target203"
"160","HK71"
"161","Target199"
"162","Target36"
"163","Target40"
"164","Target30"
"165","Target183"
"166","HK99"
"167","Target19"
"168","Target29"
"169","Target250"
"170","Target38"
"171","HK92"
"172","Target193"
"173","Target9"
"174","Target185"
"175","Target174"
"176","Burn1-TF1"
"177","HK129"
"178","HK116"
"179","Target44"
"180","HK91"
"181","Target21"
"182","HK145"
"183","Target54"
"184","HK54"
"185","Target187"
"186","Target189"
"187","HK6"
"188","HK134"
"189","Target205"
"190","Target180"
"191","HK103"
"192","Target23"
"193","Target39"
"194","Target192"
"195","HK48"
"196","HK81"
"197","Target13"
"198","Target33"
"199","Target24"
"200","Target194"
"201","Target155"
"202","Target227"
"203","Target245"
"204","Target238"
"205","Target152"
"206","Target236"
"207","Target231"
"208","Target230"
"209","Target151"
"210","Target223"
"211","A4-TF1"
"212","A1-TF1"
"213","Target228"
"214","Target243"
"215","A2-TF1"
"216","Target237"
"217","Target14"
"218","Target42"
"219","Target172"
"220","Target249"
"221","HK11"
"222","HK4"
"223","HK130"
"224","Target10"
"225","Burn3-TF1"
"226","Target184"
"227","Target186"
"228","Target175"
"229","Target201"
"230","Target145"
"231","Target147"
"232","Target146"
"233","C4-TF1"
"234","Target144"
"235","Target59"
"236","Target148"
"237","C3-TF1"
"238","Target56"
"239","Target55"
"240","Target58"
"241","Target47"
"242","Target48"
"243","Target46"
"244","C2-TF1"
"245","Target218"
"246","HK110"
"247","Target246"
"248","Target229"
"249","Target52"
"250","Target233"
"251","HK26"
"252","Target235"
"253","HK36"
"254","Target26"
"255","Target18"
"256","Target20"
"257","Target27"
"258","Target28"
"259","Target170"
"260","Target35"
"261","Target176"
"262","Target191"
"263","Target173"
"264","HK67"
"265","HK82"
"266","HK20"
"267","HK32"
"268","HK49"
"269","HK44"
"270","Target43"
"271","HK132"
"272","HK16"
"273","HK15"
"274","HK43"
"275","HK24"
"276","Target45"
"277","Target182"
"278","Target190"
"279","Target188"
"280","Target197"
"281","Target171"
"282","Target181"
"283","Target168"
"284","Target179"
"285","Target34"
"286","Target32"
"287","HK63"
"288","HK61"
"289","HK37"
"290","Target7"
"291","Target22"
"292","HK62"
"293","HK45"
"294","HK143"
"295","HK27"
"296","Target17"
"297","HK18"
"298","HK51"
"299","HK127"
"300","Target31"
"301","HK57"
"302","HK53"
"303","HK146"
"304","HK22"
"305","HK138"
"306","HK140"
"307","HK58"
"308","HK13"
