"","x"
"1","Target157"
"2","Target156"
"3","Target161"
"4","Target160"
"5","Target163"
"6","Target165"
"7","Target3"
"8","Target164"
"9","Target71"
"10","B4-TF1"
"11","Target70"
"12","Target68"
"13","Target158"
"14","Target74"
"15","Target210"
"16","Target72"
"17","Target97"
"18","Target64"
"19","Target66"
"20","Target69"
"21","Target159"
"22","B3-TF1"
"23","Target63"
"24","Target166"
"25","Target127"
"26","Target105"
"27","Target67"
"28","Target102"
"29","Target108"
"30","Target77"
"31","Target112"
"32","B5-TF1"
"33","Target138"
"34","Target130"
"35","Target86"
"36","Target61"
"37","Target98"
"38","Target106"
"39","Target81"
"40","Target62"
"41","Target107"
"42","Target109"
"43","Target133"
"44","Target110"
"45","Target139"
"46","Target60"
"47","Target118"
"48","Target89"
"49","Target141"
"50","Target78"
"51","Target131"
"52","Target91"
"53","Target83"
"54","Target85"
"55","Target121"
"56","Target96"
"57","Target104"
"58","Target124"
"59","B2-TF1"
"60","Target135"
"61","Target99"
"62","Target140"
"63","Target101"
"64","Target82"
"65","Target117"
"66","Target119"
"67","Target129"
"68","Target84"
"69","Target1"
"70","Target128"
"71","Target111"
"72","Target126"
"73","Target80"
"74","Target134"
"75","Target120"
"76","Target100"
"77","Target212"
"78","Target49"
"79","Target116"
"80","Target115"
"81","B1-TF1"
"82","Target94"
"83","Target217"
"84","Target103"
"85","Target5"
"86","Target92"
"87","C1-TF1"
"88","Target137"
"89","Target211"
"90","Target123"
"91","Target2"
"92","Target93"
"93","Target149"
"94","A6-TF1"
"95","Target125"
"96","Target233"
"97","Target216"
"98","Target246"
"99","Target213"
"100","Target248"
"101","Target239"
"102","Target224"
"103","Target226"
"104","Target219"
"105","A5-TF1"
"106","Target153"
"107","Target232"
"108","Target242"
"109","Target225"
"110","Target234"
"111","Target244"
"112","Target220"
"113","Target132"
"114","A3-TF1"
"115","Target79"
"116","Target90"
"117","Target122"
"118","Target4"
"119","Target240"
"120","Target154"
"121","Target76"
"122","Target87"
"123","Target136"
"124","Target113"
"125","Target114"
"126","Target167"
"127","Target65"
"128","Target150"
"129","Target241"
"130","Target95"
"131","Target196"
"132","Target162"
"133","Target73"
"134","Target75"
"135","Target88"
"136","Target57"
"137","HK124"
"138","Target214"
"139","Target215"
"140","Target143"
"141","Target142"
"142","Target221"
"143","Target53"
"144","Target40"
"145","Target169"
"146","Target25"
"147","HK113"
"148","HK116"
"149","Target199"
"150","Target38"
"151","HK12"
"152","Target185"
"153","Target19"
"154","HK129"
"155","Target30"
"156","Target29"
"157","Burn1-TF1"
"158","Target177"
"159","HK3"
"160","Target204"
"161","HK92"
"162","Target6"
"163","Target183"
"164","Target202"
"165","Target36"
"166","HK8"
"167","Target203"
"168","Target195"
"169","HK134"
"170","HK145"
"171","HK99"
"172","HK30"
"173","Target193"
"174","Target250"
"175","HK71"
"176","Target9"
"177","Target41"
"178","Target189"
"179","Burn2-TF1"
"180","HK6"
"181","HK28"
"182","Target54"
"183","Target42"
"184","HK150"
"185","HK11"
"186","Target249"
"187","Target23"
"188","Target24"
"189","Target13"
"190","Target180"
"191","Target187"
"192","Target44"
"193","Burn3-TF1"
"194","Target188"
"195","Target33"
"196","Target192"
"197","Target21"
"198","Target39"
"199","HK54"
"200","Target201"
"201","Target145"
"202","Target147"
"203","C4-TF1"
"204","Target144"
"205","Target146"
"206","Target59"
"207","Target148"
"208","C3-TF1"
"209","Target56"
"210","Target55"
"211","Target58"
"212","Target47"
"213","Target48"
"214","C2-TF1"
"215","Target46"
"216","Target218"
"217","Target50"
"218","Target243"
"219","Target230"
"220","Target236"
"221","Target247"
"222","Target228"
"223","Target227"
"224","Target238"
"225","Target235"
"226","Target52"
"227","Target155"
"228","A4-TF1"
"229","Target231"
"230","Target229"
"231","Target245"
"232","Target151"
"233","Target152"
"234","Target223"
"235","A2-TF1"
"236","Target51"
"237","Target172"
"238","Target194"
"239","HK48"
"240","A1-TF1"
"241","HK130"
"242","Target205"
"243","HK91"
"244","Target174"
"245","HK82"
"246","Target43"
"247","Target10"
"248","Target222"
"249","HK103"
"250","HK84"
"251","Target175"
"252","HK81"
"253","Target171"
"254","Target208"
"255","Target15"
"256","Target237"
"257","HK22"
"258","Target200"
"259","Target27"
"260","Target206"
"261","HK104"
"262","HK63"
"263","HK128"
"264","HK42"
"265","HK16"
"266","HK136"
"267","HK13"
"268","HK51"
"269","HK60"
